country ,Year,"Homicide rate per 100,000 population - sex: Total - age: Total"
Afghanistan,2009,4.071526
Afghanistan,2010,3.4870927
Afghanistan,2011,4.208668
Afghanistan,2012,6.3939123
Afghanistan,2015,9.975262
Afghanistan,2016,6.6924186
Afghanistan,2017,6.8006945
Afghanistan,2018,6.7435727
Afghanistan,2019,7.180397
Afghanistan,2020,6.594439
Afghanistan,2021,4.0224977
Afghanistan,2023,
Africa (UN),2000,13.645948
Africa (UN),2001,13.589387
Africa (UN),2002,13.524751
Africa (UN),2003,13.095996
Africa (UN),2004,12.850431
Africa (UN),2005,12.7091255
Africa (UN),2006,12.759147
Africa (UN),2007,12.555357
Africa (UN),2008,12.498256
Africa (UN),2009,12.342634
Africa (UN),2010,12.226504
Africa (UN),2011,12.290624
Africa (UN),2012,12.340445
Africa (UN),2013,12.359684
Africa (UN),2014,12.483554
Africa (UN),2015,12.366553
Africa (UN),2016,12.334789
Africa (UN),2017,12.51506
Africa (UN),2018,12.317689
Africa (UN),2019,12.313706
Africa (UN),2020,12.066697
Africa (UN),2021,12.655763
Africa (UN),2022,12.856303
Aland Islands,2023,
Albania,1992,3.9349356
Albania,1993,5.786632
Albania,1994,3.4001224
Albania,1995,7.8858495
Albania,1996,8.314658
Albania,1997,40.999237
Albania,1998,20.41968
Albania,1999,16.582197
Albania,2000,4.1168804
Albania,2001,6.9761276
Albania,2002,6.9152064
Albania,2003,5.3669734
Albania,2004,4.277379
Albania,2005,5.078094
Albania,2006,3.1630955
Albania,2007,3.5281262
Albania,2008,3.1507385
Albania,2009,2.9004874
Albania,2010,4.0845747
Albania,2011,4.8954477
Albania,2012,5.4284067
Albania,2013,4.2950954
Albania,2014,4.64616
Albania,2015,2.2203095
Albania,2016,2.7420435
Albania,2017,2.01434
Albania,2018,2.294046
Albania,2019,2.2617476
Albania,2020,2.1277716
Albania,2021,2.3119686
Albania,2022,1.6535782
Albania,2023,
Algeria,2006,0.93315166
Algeria,2007,0.79743814
Algeria,2008,0.94881076
Algeria,2009,0.78702044
Algeria,2010,0.7083823
Algeria,2011,0.76620924
Algeria,2012,1.4036288
Algeria,2013,1.2631371
Algeria,2014,1.4886416
Algeria,2015,1.38077
Algeria,2016,1.343602
Algeria,2017,1.2738065
Algeria,2018,1.3547354
Algeria,2019,1.2153039
Algeria,2020,1.5051206
Algeria,2021,1.5731823
Algeria,2022,1.7704742
Algeria,2023,
American Samoa,2001,1.71456
American Samoa,2002,12.032247
American Samoa,2003,5.1777253
American Samoa,2004,6.9413714
American Samoa,2005,10.479617
American Samoa,2006,7.037607
American Samoa,2007,1.7736
American Samoa,2008,5.3676386
American Samoa,2009,3.6123252
American Samoa,2010,9.115853
American Samoa,2011,9.206408
American Samoa,2012,3.7249844
American Samoa,2013,5.6609116
American Samoa,2014,5.7453103
American Samoa,2015,7.786949
American Samoa,2016,0
American Samoa,2017,14.151993
American Samoa,2018,26.846191
American Samoa,2019,0
American Samoa,2023,
Americas (UN),2000,15.4731
Americas (UN),2001,16.230822
Americas (UN),2002,16.26652
Americas (UN),2003,16.091763
Americas (UN),2004,15.066501
Americas (UN),2005,14.792401
Americas (UN),2006,15.034039
Americas (UN),2007,14.639408
Americas (UN),2008,15.580241
Americas (UN),2009,16.307438
Americas (UN),2010,16.619167
Americas (UN),2011,16.89151
Americas (UN),2012,17.011108
Americas (UN),2013,16.498095
Americas (UN),2014,16.234
Americas (UN),2015,15.962302
Americas (UN),2016,16.677736
Americas (UN),2017,16.955256
Americas (UN),2018,16.380625
Americas (UN),2019,15.09908
Americas (UN),2020,15.0788355
Americas (UN),2021,14.964148
Americas (UN),2022,14.632133
Andorra,2004,1.2998239
Andorra,2007,0
Andorra,2008,1.3148379
Andorra,2009,0
Andorra,2010,0
Andorra,2011,1.4170829
Andorra,2012,0
Andorra,2013,0
Andorra,2014,0
Andorra,2015,0
Andorra,2020,2.5740025
Andorra,2023,
Angola,2011,4.3488812
Angola,2012,4.8316097
Angola,2015,4.4582353
Angola,2016,4.102248
Angola,2023,
