País,Ano,Taxa_homicidios,Continente
Afghanistan,2009,4.071526,Ásia
Afghanistan,2010,3.4870927,Ásia
Afghanistan,2011,4.208668,Ásia
Afghanistan,2012,6.3939123,Ásia
Afghanistan,2015,9.975262,Ásia
Afghanistan,2016,6.6924186,Ásia
Afghanistan,2017,6.8006945,Ásia
Afghanistan,2018,6.7435727,Ásia
Afghanistan,2019,7.180397,Ásia
Afghanistan,2020,6.594439,Ásia
Afghanistan,2021,4.0224977,Ásia
Afghanistan,2023,,Ásia
Africa,2000,13.645948,Outros
Africa,2001,13.589387,Outros
Africa,2002,13.524751,Outros
Africa,2003,13.095996,Outros
Africa,2004,12.850431,Outros
Africa,2005,12.7091255,Outros
Africa,2006,12.759147,Outros
Africa,2007,12.555357,Outros
Africa,2008,12.498256,Outros
Africa,2009,12.342634,Outros
Africa,2010,12.226504,Outros
Africa,2011,12.290624,Outros
Africa,2012,12.340445,Outros
Africa,2013,12.359684,Outros
Africa,2014,12.483554,Outros
Africa,2015,12.366553,Outros
Africa,2016,12.334789,Outros
Africa,2017,12.51506,Outros
Africa,2018,12.317689,Outros
Africa,2019,12.313706,Outros
Africa,2020,12.066697,Outros
Africa,2021,12.655763,Outros
Africa,2022,12.856303,Outros
Aland Islands,2023,,Outros
Albania,1992,3.9349356,Europa
Albania,1993,5.786632,Europa
Albania,1994,3.4001224,Europa
Albania,1995,7.8858495,Europa
Albania,1996,8.314658,Europa
Albania,1997,40.999237,Europa
Albania,1998,20.41968,Europa
Albania,1999,16.582197,Europa
Albania,2000,4.1168804,Europa
Albania,2001,6.9761276,Europa
Albania,2002,6.9152064,Europa
Albania,2003,5.3669734,Europa
Albania,2004,4.277379,Europa
Albania,2005,5.078094,Europa
Albania,2006,3.1630955,Europa
Albania,2007,3.5281262,Europa
Albania,2008,3.1507385,Europa
Albania,2009,2.9004874,Europa
Albania,2010,4.0845747,Europa
Albania,2011,4.8954477,Europa
Albania,2012,5.4284067,Europa
Albania,2013,4.2950954,Europa
Albania,2014,4.64616,Europa
Albania,2015,2.2203095,Europa
Albania,2016,2.7420435,Europa
Albania,2017,2.01434,Europa
Albania,2018,2.294046,Europa
Albania,2019,2.2617476,Europa
Albania,2020,2.1277716,Europa
Albania,2021,2.3119686,Europa
Albania,2022,1.6535782,Europa
Albania,2023,,Europa
Algeria,2006,0.93315166,África
Algeria,2007,0.79743814,África
Algeria,2008,0.94881076,África
Algeria,2009,0.78702044,África
Algeria,2010,0.7083823,África
Algeria,2011,0.76620924,África
Algeria,2012,1.4036288,África
Algeria,2013,1.2631371,África
Algeria,2014,1.4886416,África
Algeria,2015,1.38077,África
Algeria,2016,1.343602,África
Algeria,2017,1.2738065,África
Algeria,2018,1.3547354,África
Algeria,2019,1.2153039,África
Algeria,2020,1.5051206,África
Algeria,2021,1.5731823,África
Algeria,2022,1.7704742,África
Algeria,2023,,África
American Samoa,2001,1.71456,Oceania
American Samoa,2002,12.032247,Oceania
American Samoa,2003,5.1777253,Oceania
American Samoa,2004,6.9413714,Oceania
American Samoa,2005,10.479617,Oceania
American Samoa,2006,7.037607,Oceania
American Samoa,2007,1.7736,Oceania
